-,"AC
        Type",AC Type,Aboard,Date,Fatalities,Flight #,Ground,Location,Operator,Registration,Route,Summary,Time,Year,cn / ln
ACCIDENT DETAILS,Bell 204B helicopter,Bell 204B helicopterN1187W,11   (passengers:10  crew:1),"October 08, 1966",11   (passengers:10  crew:1),?,0,"Off Morgan City, Louisiana",Petroleum Helicopter,N1187W,?,The helicopter crashed into the Gulf of Mexico after a tail rotor failure.  Fatigue fracture.,1330,1966,2041
ACCIDENT DETAILS,Lockheed EC-121H,Lockheed EC-121H55-5262,19   (passengers:15  crew:4),"November 11, 1966",19   (passengers:15  crew:4),-,0,"Off Chatham, Massachusetts",Military - U.S. Air Force,55-5262,Survey flight,"The aircraft was observed flying low and emitting smoke from one of its engines before crashing into the sea and exploding, 125 miles east of Nantucket.",0143,1966,4413
ACCIDENT DETAILS,NAMC-YS-11-111,NAMC-YS-11-111JA8658,50   (passengers:45  crew:5),"November 13, 1966",50   (passengers:45  crew:5),533,0,"Off Matsuyama, Japan",All Nippon Airways,JA8658,Osaka - Matsuyama,The plane crashed into the sea after overshooting the runway and during a go-around. Undetermined cause.,2030,1966,2023
ACCIDENT DETAILS,Boeing 727-21,Boeing 727-21N317PA,3   (passengers:0  crew:3),"November 15, 1966",3   (passengers:0  crew:3),?,0,"Near Dallgow, Germany",Pan American Airways,N317PA,Frankfurt - Berlin,The cargo plane crashed while landing. The descent of the flight below its altitude clearance limit for reasons unknown.,0242,1966,18995/221
ACCIDENT DETAILS,Martin 404,Martin 404N40406,3   (passengers:0  crew:3),"November 20, 1966",3   (passengers:0  crew:3),101,0,"Near New Bern, North Carolina",Piedmont Airlines,N40406,Wilmington - New Bern,Crashed while on approach. Descent below obstructing terrain.,0606,1966,14170
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3VR-AAN,30   (passengers:27  crew:3),"November 22, 1966",30   (passengers:27  crew:3),?,0,"Near Aden, Yemen",Aden Airways,VR-AAN,"Aden - Maifa'a 
Mayfa'ah - Arden, Yemen",The aircraft crashed into the desert 20 minutes after taking off. The aircraft made contact with ATC during the climb but failed to make a scheduled report an hour later. Detonation of an explosive device placed in hand luggage in the cabin on the port side just above the wing.,1220,1966,4284
ACCIDENT DETAILS,Ilyushin IL-18B,Ilyushin IL-18BLZ-BEN,82   (passengers:74  crew:8),"November 24, 1966",82   (passengers:74  crew:8),101,0,"Near Bratislava, Czechoslovakia",Transportno Aviatsionno Bulgaro-Soviet Obshchestvo,LZ-BEN,Bratislava - Praha,"Following takeoff, the aircraft did not follow assigned route and crashed into wooded hillside. Insufficient evaluation of the weather conditions and relief of the terrain by the crew.",1630,1966,184007101/356
ACCIDENT DETAILS,Douglas C-47D,Douglas C-47D4476574,31   (passengers:25  crew:6),"November 26, 1966",31   (passengers:25  crew:6),?,0,"Near Saigon, South Vietnam",Military - U.S. Air Force,4476574,Saigon - Korat AB,Crashed and burst into flames into a rice paddy after experiencing a malfunction of the left engine.,1920,1966,?
ACCIDENT DETAILS,Consolidated  PBY-5A Catalina,Consolidated  PBY-5A CatalinaFAC-621,13   (passengers:10  crew:3),"November 26, 1966",12   (passengers:9  crew:3),?,0,"Near La Pedrera, Colombia",Satena,FAC-621,La Pedrera -Leticia,"Shortly after takeoff from  La Pedrera Airport, while in an initial climb, the seaplane stalled and crashed into the Rio Caquetá.",1424,1966,?
ACCIDENT DETAILS,Tupolev TU-114B,Tupolev TU-114BCCCP-76457,21   (passengers:13  crew:8),"December 02, 1966",21   (passengers:13  crew:8),?,0,"Moscow, Russia",Aeroflot,CCCP-76457,Moscow - Brazzaville,Crashed into a snowbank on the takeoff roll in poor visibility.,?,1966,88411
ACCIDENT DETAILS,Lockheed L-1649A Starliner,Lockheed L-1649A StarlinerN7301C,59   (passengers:52  crew:7),"December 18, 1966",17   (passengers:13  crew:4),?,0,"Bogota, Colombia",Aerocondor de Colombia,N7301C,Miami - Bogota,Crash landed short of the runway on approach in fog. Pilot error. Presence of unauthorized person in the cockpit distracting the pilot. Lack of cockpit supervision. Poor weather.,0255,1966,1002
ACCIDENT DETAILS,Douglas C-47A-80-DL,Douglas C-47A-80-DLHK-161,29   (passengers:26  crew:3),"December 24, 1966",29   (passengers:26  crew:3),729,0,"Cascubel River, Colombia",AVIANCA,HK-161,Bogota - Cali,"Crashed into the southern slopes of Tajumbina Peak at 11,600 ft. while approaching Cali. Lack of cockpit discipline. Consuming alcohol shortly before the flight. Not following the recommended route. Incorrectly reported positions. Continuing VFR in IFR conditions. Flying below minimum safe altitude for a VFR approach.",0956,1966,19630
ACCIDENT DETAILS,Canadair CL-44D4-1,Canadair CL-44D4-1N228SW,4   (passengers:0  crew:4),"December 24, 1966",4   (passengers:0  crew:4),?,125,"Binh Tahi, Da Nang, Vietnam",Flying Tiger Line,N228SW,?,The cargo plane undershot runway by 1 mile while making a radar approach in fog at night. Crashed into numerous thatched roof houses.,1915,1966,31
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3YK-ACB,19   (passengers:?  crew:?),"February 06, 1967",1   (passengers:?  crew:?),?,0,"Aleppo, Syria",Syrian Arab Airlines,YK-ACB,Damascus - Aleppo,Crashed into building while landing in marginal weather and limited visibility.,?,1967,33559
ACCIDENT DETAILS,Antonov AN-24,Antonov AN-24?,30   (passengers:?  crew:?),"February 07, 1967",30   (passengers:?  crew:?),?,0,"Near Hourghada, UAR",Misrair,?,?,Crashed after an explosion aboard the aircraft.,?,1967,?
ACCIDENT DETAILS,Antonov AN-12,Antonov AN-12CU-T827,10   (passengers:6  crew:4),"February 09, 1967",10   (passengers:6  crew:4),?,0,"Near Mexico City, Mexico",Cubana de Aviacion,CU-T827,Havana - Mexico City,"Crashed due to 18 km from the runway. Pilot error,",0515,1967,401504
ACCIDENT DETAILS,Lockheed L-188C Electra,Lockheed L-188C ElectraPK-GLB,63   (passengers:55  crew:8),"February 16, 1967",22   (passengers:22  crew:0),708,0,"Manado, Indonesia",Garuda Indonesia Airlines,PK-GLB,Jakarta - Menado via Surabaya,"Crashed on approach, landing short of the runway, collapsing the landing gear. Awkward landing technique resulting in excessive rate of sink. Contributing factors include narrow runway, uneven runway necessitating landing as close to the threshold as possible and marginal weather conditions.",1321,1967,2021
ACCIDENT DETAILS,Douglas DC-6,Douglas DC-6HR-SAG,55   (passengers:50  crew:5),"February 20, 1967",4   (passengers:4  crew:0),?,0,"Tegucigalpa, Honduras",Sahsa Airlines,HR-SAG,San Pedro Sula - Tegucigalpa,"While landing, the crew was unable to move the throttles into reverse position. The plane was not able to go-around and a ground loop was attempted. The aircraft ran off the runway into a ditch and the left wing tank ruptured and caught fire. Probable failure of the reverse pitch control mechanism.",0845,1967,42894/56
ACCIDENT DETAILS,Fokker F-27 Friendship 100,Fokker F-27 Friendship 100PI-C501,20   (passengers:16  crew:4),"February 28, 1967",12   (passengers:8  crew:4),345,0,"Mactan, Philippines",Philippine Air Lines,PI-C501,Manila - Mactan,Crashed after undershooting the runway. Loss of control at low altitude. Improper loading which placed the center of gravity in back of the center of gravity limits of the plane.,1918,1967,10147
ACCIDENT DETAILS,Convair CV-580,Convair CV-580N73130,38   (passengers:35  crew:3),"March 05, 1967",38   (passengers:35  crew:3),527,0,"Near Marseille, Ohio",Lake Central Airlines,N73130,Colombus - Toledo,The aircraft crashed following the separation in flight of all four blades of the right propeller. No. 2 blade penetrated and destroyed the structural integrity of the fuselage. Malfunction of the hydraulic pitch control mechanism. Uncontrollable overspeeding. Propeller separation in flight. Omission of the torque piston nitriding process during manufacture and failure of quality control to detect the omission.,2007,1967,023
ACCIDENT DETAILS,McDonnell Douglas DC-8-33,McDonnell Douglas DC-8-33PP-PEA,90   (passengers:71  crew:19),"March 05, 1967",51   (passengers:50  crew:1),837,5,"Monrovia, Liberia",Varig,PP-PEA,Beirut - Rome - Monrovia - Recife - Rio de Janeiro,Crashed on short of  the runway during approach. Crew error. The failure of the pilot to arrest the fast descent at a low altitude upon which he had erroneously decided after coming in too high.,0256,1967,45253/5
ACCIDENT DETAILS,AT L98 Carvair,AT L98 CarvairF-BMHU,6   (passengers:0  crew:6),"March 08, 1967",4   (passengers:0  crew:4),?,7,"Karachi, Pakistan",Compagnie Air Transport,F-BMHU,Karachi - Tokyo,Failed to climb on takeoff and crashed into a bridge and some houses. Failure of the right engine.,?,1967,4
ACCIDENT DETAILS,MD Douglas DC-9-15 / Beechcraft Baron-55,MD Douglas DC-9-15 / Beechcraft Baron-55N1063T/N6127V,26   (passengers:21  crew:5),"March 09, 1967",26   (passengers:21  crew:5),553,0,"Urbana, Ohio",Trans World Airlines / Private,N1063T/N6127V,Pittsburgh - Dayton,"Midair collision. Twenty five killed on the DC-9, one on the Beechcraft. Failure of the DC-9 crew to see and avoid the Beechcraft. The DC-9 was traveling at almost 300 mph at low altitude in airspace occupied by numerous small planes. The contributing factor to the accident was the excessive speed of the DC-9.  ATC systems inadequate to separate controlled and uncontrolled traffic. After this accident, the FAA imposed a maximum speed of 250 knots below 10,000 ft. mean sea level.",1154,1967,45777/80 / N6127V
ACCIDENT DETAILS,Fairchild F-27,Fairchild F-27N2712,4   (passengers:1  crew:3),"March 10, 1967",4   (passengers:1  crew:3),720,0,"Near Klamath Falls, Oregon",West Coast Airlines,N2712,Klamath Falls - Medford - North Bend - Portland - Seattle,The aircraft struck the northwestern slope of Stukel Mountain just after takeoff. Loss of control due to ice accretion on airframe surfaces. The pilot should have required that de-icing fluid be applied prior to takeoff.,0503,1967,73
ACCIDENT DETAILS,Douglas C-47J,Douglas C-47J99844,25   (passengers:21  crew:4),"March 10, 1967",25   (passengers:21  crew:4),?,0,"Near Phan Rang, South Vietnam",Military - U.S. Navy,99844,Siagon - Cam Ranh Bay AB,Crashed and exploded  while en route.,1620,1967,33262
ACCIDENT DETAILS,de Havilland Canada DHC-6 Twin Otter 100,de Havilland Canada DHC-6 Twin Otter 100I-CLAI,5   (passengers:3  crew:2),"March 11, 1967",4   (passengers:2  crew:2),?,0,"Mt Visenti, Italy",Aeralpi,I-CLAI,Venezia - Belluno,Flew into Colcanin Mountain in heavy fog while en route.,1600,1967,30
ACCIDENT DETAILS,Ilyushin IL-14P,Ilyushin IL-14PCCCP-61657,19   (passengers:15  crew:4),"March 12, 1967",15   (passengers:11  crew:4),1799,0,"Near Yakutsk, Russia",Aeroflot,CCCP-61657,Olyokminsk - Yakutsk,The aircraft collided with trees and caught fire  50 miles from Yakutsk after the right engine caught fire.,1428,1967,6341801
ACCIDENT DETAILS,Vickers Viscount 818,Vickers Viscount 818ZS-CVA,25   (passengers:20  crew:5),"March 13, 1967",25   (passengers:20  crew:5),406,0,"Off East London, South Africa",South African Airways,ZS-CVA,Port Elizabeth - East London,Crashed into the sea. Most probably the captain suffered a heart attack and the first officer could not regain control of aircraft.,1710,1967,317
ACCIDENT DETAILS,McDonnell Douglas DC-8-51,McDonnell Douglas DC-8-51N802E,6   (passengers:0  crew:6),"March 30, 1967",6   (passengers:0  crew:6),9877,13,"New Orleans, Louisiana",Delta Air Lines,N802E,New Orleans AP - New Orleans AP,"Flight 9877 was scheduled to provide crew training for a captain trainee and a flight engineer trainee. In addition the flight engineer instructor was being given a routine proficiency check. The flight departed the ramp at 00:40 with the captain trainee in the left seat and the check captain in the right seat. At 00:43 the crew advised the tower they were ready for takeoff and would like to circle and land on Runway 1. The tower cleared them as requested. The aircraft was observed to make what appeared to be a normal takeoff and departure. At 00:47 the crew reported on base leg for Runway 1, and the controller cleared the flight to land. A subsequent discussion revealed that they would execute a simulated two-engine out approach, execute a full stop landing and then takeoff on runway 19. The tower controller observed Flight 9877 in a shallow left turn on what appeared to be a normal final approach. The degree of bank increased to approximately 60 degrees or greater when the aircraft hit the power lines approximately 2,300 feet short and 1,100 feet west of the runway threshold. The DC-8 crashed into a residential area, destroying several homes and a motel complex. Improper supervision by the instructor and the improper use of flight and power controls by both instructor and the captain trainee during a simulated two-engine out landing approach.",0050,1967,45409/19
ACCIDENT DETAILS,Lockheed 18 Lodestar,Lockheed 18 LodestarN706G,5   (passengers:2  crew:3),"April 02, 1967",5   (passengers:2  crew:3),?,0,"Off Lima, Peru",Caribbean Airlines,N706G,Miami - Lima - Asunción,Ditched in the ocean 2 km  off shore.,?,1967,2625
ACCIDENT DETAILS,Curtiss C-46 Commando,Curtiss C-46 Commando?,15   (passengers:3  crew:12),"April 08, 1967",15   (passengers:3  crew:12),?,44,"Seoul, South Korea",Military - Republic of Korea Air Force,?,Seoul - Daegu,"After taking off in dirzzle, the plane had trouble with the no. 2 engine. The aircraft circled three times and struck the dome of a Christian church on a hill and burst into flames. The flames spread and burnt down 30 wooden buildings.",1100,1967,?
ACCIDENT DETAILS,Douglas DC-4,Douglas DC-47T-VAU,39   (passengers:33  crew:6),"April 11, 1967",35   (passengers:29  crew:6),?,0,"Tamanrasset, Algeria",Air Algerie,7T-VAU,Algiers - Tamanrasset,Crashed into a mountainside while descending to land at Tamanrasset. Cause unknown.,2014,1967,3065
ACCIDENT DETAILS,Lockheed C-130B,Lockheed C-130B5-107,23   (passengers:14  crew:9),"April 17, 1967",23   (passengers:14  crew:9),?,0,"Near Mamuniyeh, Iran",Military - Imperial Iranian Air Force,5-107,Shiraz - TerhanI,Crashed after flying through thunderstorm activity and being struck by lightning.,1740,1967,4118
ACCIDENT DETAILS,Bristol Britannia 175,Bristol Britannia 175HB-ITB,130   (passengers:120  crew:10),"April 20, 1967",126   (passengers:117  crew:9),?,0,"Near Nicosia, Cyprus",Globe Air,HB-ITB,Bombay - Cairo,The flight crashed while making a second landing attempt. Misjudgement by the pilot during approach. Both pilots exceeded their duty time by 3 hours at the time of the crash. The first officer had less than 50 hours flying time in a Britannia.,0113,1967,13232
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3HK-326,18   (passengers:16  crew:2),"April 26, 1967",17   (passengers:15  crew:2),?,0,"Near Sogamosa, Colombia",AVIANCA,HK-326,Sogamoso - Trinidad,Stalled and crashed shortly after taking off.,?,1967,4631
ACCIDENT DETAILS,Fokker F-27 Friendship 400,Fokker F-27 Friendship 400PK-PFB,21   (passengers:18  crew:3),"April 27, 1967",19   (passengers:16  crew:3),?,0,"Malaybalay, Philippines",Pelita Air Service,PK-PFB,Demonstration,The plane crashed at the west end of of the runway on takeoff while on a demonstration flight. Overloaded.,1710,1967,10306
ACCIDENT DETAILS,de Havilland DH-104 / Piper PA-28,de Havilland DH-104 / Piper PA-28N80013 / N5836W,14   (passengers:11  crew:3),"May 01, 1967",3   (passengers:1  crew:2),?,0,"Flushing, New York",Greylock Airways / Private,N80013 / N5836W,?,The de Havilland and Piper collided while attempting to land at La Guardia Airport. The Piper did not reply to instructions from the tower and landed without clearance. Congested traffic pattern. Inadequate spacing of traffic were contributing factors. All three killed on the Piper.,1620,1967,?
ACCIDENT DETAILS,Curtiss C-46T,Curtiss C-46TCF-NAD,4   (passengers:2  crew:2),"May 15, 1967",4   (passengers:2  crew:2),?,0,"Cape Dyer, Northwest Territories Canada",Nordair,CF-NAD,Hall Beach - Cape Dyer,Crashed short of the runway in whiteout conditions. Improper  procedures by crew in whiteout weather conditions.,?,1967,30200
ACCIDENT DETAILS,Douglas DC-8-54F,Douglas DC-8-54FCF-TJM,3   (passengers:0  crew:3),"May 19, 1967",3   (passengers:0  crew:3),?,0,"Ottawa, Ontario, Canada",Air Canada,CF-TJM,Training -Montreal - Ottawa,The plane rolled to the right and crashed inverted. Failure to abandon a training maneuver under conditions which precluded the availability of adequate flight control.,1837,1967,45653/178
ACCIDENT DETAILS,Douglas C54A,Douglas C54AG-APYK,88   (passengers:83  crew:5),"June 03, 1967",88   (passengers:83  crew:5),?,0,"Mt. Canigou, near Roussillon, France",Air Ferry Ltd,G-APYK,Manston - Perpignan,Crashed into a mountain while attempting to land. Series of errors by the crew due to intoxication by carbon monoxide fumes. Difficulty in communication between the ATC and crew due to lack of phraseology.,2306,1967,10279
ACCIDENT DETAILS,Canadair C-4 Argonaut,Canadair C-4 ArgonautG-ALHG,84   (passengers:79  crew:5),"June 04, 1967",72   (passengers:69  crew:3),?,0,"Stockport, Cheshire, England",British Midland Airways,G-ALHG,Palma de Mallorca - Manchester,"The aircraft crashed a during a landing attempt. Loss of power in both starboard engines resulting in control difficulties. Fuel starvation due to inadvertent fuel transfer. Inadvertent fuel transfer in flight on a scale sufficient to involve the risk, after a long flight, of emptying the tank expected to contain sufficient fuel can occur if the fuel selector levers in the cockpit of this type of aircraft are incorrectly positioned by even a small amount. This is easy to do and difficult for the pilot to recognize.",1009,1967,153
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3HZ-AAJ,18   (passengers:15  crew:3),"June 11, 1967",17   (passengers:14  crew:3),?,0,"Jedda, Saudi Arabia",Saudi Arabian Airlines,HZ-AAJ,Madinah - Jeddah,Crashed on final approach.,?,1967,15235/26680
ACCIDENT DETAILS,Douglas DC-3A-197D,Douglas DC-3A-197DXA-FUW,4   (passengers:0  crew:4),"June 12, 1967",3   (passengers:0  crew:3),?,2,"Near La Paz, Mexico",Aeronaves de Mexico,XA-FUW,La Paz - Mazatlan,Crashed into a residential neighborhood while attempting to return to the airport following an engine failure.,?,1967,3260
ACCIDENT DETAILS,Bristol 170 Freighter 31E,Bristol 170 Freighter 31EEI-APM,2   (passengers:0  crew:2),"June 12, 1967",2   (passengers:0  crew:2),?,0,"Dublin, Ireland",Aer Turas,EI-APM,Glasgow - Dublin,"The pilot attempted an overshoot maneuver, following the stoppage of the port engine, at too low a speed (below the minimum control speed) resulting in an uncontrollable turn towards the Airport buildings.",1758,1967,13076
ACCIDENT DETAILS,Douglas C-47,Douglas C-47C-47-268,25   (passengers:20  crew:5),"June 15, 1967",20   (passengers:16  crew:4),?,0,"Near Coari, Brazil",Military - Brazilian Air Force,C-47-268,Belem - Cachimbo,The pilot became lost and ran out of fuel crashing into a swamp. Wreckage was found in the jungle 10 days later.,0500,1967,?
ACCIDENT DETAILS,Lockheed C-130B,Lockheed C-130B60-0293,56   (passengers:49  crew:7),"June 17, 1967",35   (passengers:35  crew:0),?,0,"An Khe, South Vietnam",Military - U.S. Air Force,60-0293,An Khe - Tan Son Nhut,The plane crashed after an aborted takeoff caused the plane to break apart and catch fire.,1930,1967,3591
ACCIDENT DETAILS,Bell UH-1B / Sikorsky CH53A helicopters,Bell UH-1B / Sikorsky CH53A helicopters638572/153305,35   (passengers:?  crew:?),"June 23, 1967",22   (passengers:?  crew:?),?,0,"Near Jacksonville, North Carolina",Military - U.S. Marine Corps/Military - U.S. Marine Corps,638572/153305,?,A mid-air collision occurred between the two aircraft as they attempted to land at the New River Marine Corps Air Facility located on the grounds of Camp Le Jeune.Tower personnel did not continuously  monitor the approach of the CH-53 in order to take more positive action to prevent the mid-air collision.,0900,1967,?
ACCIDENT DETAILS,BAC One Eleven 204AF,BAC One Eleven 204AFN1116J,34   (passengers:30  crew:4),"June 23, 1967",34   (passengers:30  crew:4),40,0,"Blossburg, Pennsylvania",Mohawk Airlines,N1116J,Elmira - Washington DC,"The flight crashed after an in-flight fire destroyed the pitch control systems. Incorrect installation of a valve caused hot air to ignite hydraulic fluid. The fire resulted from engine bleed air flowing back through the malfunctioning non-return valve and an open air delivery valve, through the auxiliary power unit in a reverse direction, and exiting into the plenum chamber at temperatures sufficiently high to cause the acoustics linings to ignite.",1347,1967,098
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3HZ-AAM,17   (passengers:14  crew:3),"June 24, 1967",16   (passengers:13  crew:3),?,0,"Khamis Mushait, Saudi Arabia",Saudi Arabian Airlines,HZ-AAM,Nejran - Jeddah,Crashed while en route.,?,1967,?
ACCIDENT DETAILS,Sud Aviation SE-210 Caravelle III,Sud Aviation SE-210 Caravelle IIIHS-TGI,80   (passengers:73  crew:7),"June 30, 1967",24   (passengers:24  crew:0),601,0,"Kai Tak, Hong Kong",Thai International,HS-TGI,Seoul - Hong Kong,Ditched into the sea while on approach during a typhoon. Crew did not follow proper approach procedures.  The captain did not monitor the approach properly and the co-pilot mishandled the aircraft after descending below minimum altitude.,1610,1967,025/24
ACCIDENT DETAILS,Fokker F-27 Friendship 100,Fokker F-27 Friendship 100PI-C527,21   (passengers:17  crew:4),"July 06, 1967",21   (passengers:17  crew:4),385,0,"Bacolod, Philippines",Philippine Air Lines,PI-C527,Bacolod - Mactan,Crashed into a mountain in poor weather. Pilot error. Decision to fly VFR over rugged terrain in IFR conditions.,1843,1967,10285
ACCIDENT DETAILS,?,??,4   (passengers:3  crew:1),"July 15, 1967",4   (passengers:3  crew:1),?,0,"Near Williamsport, Newfoundland, Canada",Eastern Provincial Airways,?,?,Crashed minutes after takeoff.,?,1967,?
ACCIDENT DETAILS,Boeing B-727-22 / Cessna 310,Boeing B-727-22 / Cessna 310N68650/N3121S,82   (passengers:77  crew:5),"July 19, 1967",82   (passengers:77  crew:5),22,0,"Near Hendersonville, North Carolina",Piedmont Airlines / Private,N68650/N3121S,Ashville - Roanoke,"Midair collision. The B-727 was climbing away from Asheville Airport when it hit the Cessna, about 8 miles from the airport at 6,000 feet.  Seventy-nine killed on the B-727 (74 passengers + 5 crew) and 3 on the Cessna killed (1 pilot + 2 passengers). Deviation from IFR clearance by the Cessna pilot. Confusing transmission by the ATC. Lack of secondary surveillance radar. John T. McNaughton, Navy Secretary designate killed along with his wife and son.",1101,1967,18295/4 / ?
ACCIDENT DETAILS,Douglas DC-4-1009,Douglas DC-4-10095R-MAD,42   (passengers:39  crew:3),"July 19, 1967",42   (passengers:39  crew:3),?,0,"Tananarive, Malagasy Republic",Air Madagascar,5R-MAD,Atlanta - Asheville - Roanoke - Washington DC,"Crashed 2,500 feet beyond the runway while taking off from Ivato airport in fog. Lost power to both left engines and struck high ground while trying to return for an emergency landing in poor visibility.",1201,1967,42991
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3XW-PDL,16   (passengers:13  crew:3),"July 25, 1967",16   (passengers:13  crew:3),?,0,"Near Luang Prabang, Laos",Vehu Akat,XW-PDL,Vientiane - Luang Prabang,Struck a mountain in the Phou Pha Bon range while in a holding pattern. Encountered strong turbulence and downdrafts.,1030,1967,?
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3B-112,18   (passengers:15  crew:3),"July 25, 1967",18   (passengers:15  crew:3),?,0,"Near Luang Prabang, Laos",Taiwan Aviation,B-112,Vientiane - Luang Prabang,Crashed en route.,?,1967,?
ACCIDENT DETAILS,Mc Donnell Douglas F-4B Phantom II,Mc Donnell Douglas F-4B Phantom II-,2   (passengers:0  crew:2),"July 29, 1967",0   (passengers:0  crew:0),?,134,"Gulf of Tonkin,",Military - US Navy,-,Bombing mission,"The plane was preparing to take off from the aircraft carrier Forrestal and was armed with Zuni rockets.  When it switched from external to internal power, an electrical fault caused one of the rockets to fire, hitting an A-4 Skyhawk nearby on the flight deck. Spilled fuel and other weapons then burned and exploded and caused 72 million dollars of damage. One of the injured was future US senator John McCain, who might have been in the A-4 that was hit, or another one next to it.",1051,1967,-
ACCIDENT DETAILS,North American B-25 Mitchell,North American B-25 MitchellN3443G,22   (passengers:20  crew:2),"August 27, 1967",16   (passengers:16  crew:0),?,0,"Lake Erie off Huron, Ohio",Private,N3443G,"Wakeman - Wakeman, Ohio","All the passengers were experienced parachutists who had accepted an invitation to try a high-altitude jump.The plan was for 18 to parachute from 20,000 ft. and 2 from 30,000 ft.,,over Ortner Airport in Wakeman. The jump was to be photographed from a Cessna 180. The B-25 flew over solid clouds but the pilot did not cancel the jumps. Cleveland ATC Center confused the two planes and gave the B-25 the wrong position. The first 18 parachutists all landed in Lake Erie, only two of them surviving.",1602,1967,108-33745
ACCIDENT DETAILS,Ilyushin IL-18,Ilyushin IL-18OK-WAI,69   (passengers:61  crew:8),"September 05, 1967",37   (passengers:33  crew:4),523,0,"Near Gander, Newfoundland, Canada",Ceskoslovenske Aerolinie,OK-WAI,Gander - Havana,"Unable to maintain altitude after taking off, the aircraft crashed 4,000 feet past the runway and burned. Cause unknown.",0240,1967,187009705
ACCIDENT DETAILS,Lockheed C130B,Lockheed C130B61-2649,23   (passengers:18  crew:5),"October 08, 1967",23   (passengers:18  crew:5),?,0,"Near Huong Thuy, South Vietnam",Military - U.S. Air Force,61-2649,Hue - Da Nang,"The aircraft struck a mountain at 1,700 ft., exploded and disintegrated 10 minutes after taking off from Da Nang.",0940,1967,3692
ACCIDENT DETAILS,BAC One Eleven,BAC One Eleven?,23   (passengers:18  crew:5),"October 09, 1967",2   (passengers:2  crew:0),?,0,Over the Carribean Sea,LACSA,?,"San Jose, Costa Rica - Grand Cayman Islands","The jetliner, flying at 29,000 ft., was caught in violent downdrafts dropping the airplane 10,000 ft in four successive plunges before the pilot was able to regain control of the aircraft. Costa Rican publisher and former ambassador to the U.S. Ricardo Castro Beeche and another male passenger were killed when they were ejected out of their seats. Both had failed to fasten their seatbelts even after a warning ten minutes earlier. The plane landed safely at Grand Cayman Islands 40 minutes after the event. There was no apparent damage to the aircraft.",1145,1967,?
ACCIDENT DETAILS,de Havilland Comet 4B,de Havilland Comet 4BG-ARCO,66   (passengers:59  crew:7),"October 12, 1967",66   (passengers:59  crew:7),284,0,"Off Rhodes, Greece",British European Airways,G-ARCO,Athens - Nicosia,While flying at FL 290 the aircraft was destroyed by a detonation of a high explosive device within the cabin under seat 4A or 5A which severly damaged the aircraft causing it to go out of control and structurally break up at FL150.,0725,1967,06449
ACCIDENT DETAILS,Douglas DC-3,Douglas DC-3B-1541,16   (passengers:13  crew:3),"October 24, 1967",16   (passengers:13  crew:3),?,0,South Vietnam,China Airlines (Taiwan),B-1541,Phan Rang - Pleiku,Crashed en route.,?,1967,?
ACCIDENT DETAILS,Handley Page HPR-7 Herald 214,Handley Page HPR-7 Herald 214PP-SDJ,25   (passengers:20  crew:5),"November 03, 1967",21   (passengers:16  crew:5),?,0,"Near Curitiba, Brazil",Sadia,PP-SDJ,Sao Paulo - Curitiba,Crashed into hill while on approach. Improper procedures used by crew.,1130,1967,190
ACCIDENT DETAILS,Sud Aviation Caravelle 10R,Sud Aviation Caravelle 10REC-BDD,37   (passengers:30  crew:7),"November 04, 1967",37   (passengers:30  crew:7),062,0,"Fernhurst, Sussex, England",Iberia Airlines,EC-BDD,Malaga - London,"The aircraft descended too low and flew into the southern slope of Black Down Hill.  Descended through its assigned altitude for reasons unknown. Actress June Thorburn, 36,  killed.",2202,1967,202/204
ACCIDENT DETAILS,Convair CV-880-22M-3,Convair CV-880-22M-3VR-HFX,127   (passengers:116  crew:11),"November 05, 1967",1   (passengers:1  crew:0),033,0,"Hong Kong, China",Cathay Pacific Airways,VR-HFX,Hong Kong - Saigon,"Shortly before reaching V1, the nose gear tire blew causing severe vibration. The crew aborted the takeoff and overran the runway into the sea. Loss of directional control developing from separation of the right nose wheel tread.  Inability to stop within the normally adequate runway distance available due to use of differential braking, impaired performance and an increase in tail wind component and aircraft weight over those used in calculating the aircraft's acceleration /stoping performance.",1035,1967,22-00-37
ACCIDENT DETAILS,Boeing B-707-131,Boeing B-707-131N742TW,36   (passengers:29  crew:7),"November 06, 1967",1   (passengers:1  crew:0),159,0,"Cincinnati, Ohio",Trans World Airlines,N742TW,Cincinnati - Los Angeles,"While on the takeoff roll a loud bang was heard as the aircraft passed a Delta plane and the takeoff was aborted. The aircraft overran the runway and crashed and burned. The inability of the TWA crew to abort successfully their takeoff at the speed attained prior to the attempted abort. The abort was understandably initiated because of the first officer's belief that his plane had collided with a Delta aircraft stopped just off the runway. A contributing factor was the action of the Delta crew in advising the tower that their plane was clear of the runway without carefully ascertaining the facts, and when in fact their aircraft was not a safe distance under the circumstances of another aircraft taking off on that runway.",1841,1967,17669/43
